0124,Oppsaljordet Borettslag
0125,Soltoppen Borettslag
0128,Frydenbergbakken Borettslag
0129,Lysehagan Borettslag
0131,Eftasåsen Borettslag
0134,Solrabben Borettslag
0135,Oppsalgrenda Borettslag
0137,Østmarka Borettslag
0138,Manglerudjordet Borettslag
0143,Helgesensgate 79 AS
0145,Fuglemyra Borettslag
0146,Sandakerveien Borettslag
0147,Prestehagan Borettslag
0149,Stormyra Borettslag
0150,Godlia Borettslag
0152,Engsletta Borettslag
0153,Nøklevann Borettslag
0156,Langbølgen Borettslag
0160,Oppsal Vaktmestersentral
0162,Lundlia Borettslag
0164,Rimveien Borettslag
0167,Lodalen Borettslag
0169,Sandakerveien 20 B B/L
0170,Husebybakken Borettslag
0171,Plogveien Borettslag
0173,Lillo Terrasse Borettslag
0175,Flaengrenda Borettslag
0176,Nylænde Borettslag
0177,Mogaten Borettslag
0178,Nordre Huseby Boligselskap A/S
0179,Skolebakken Borettslag
0181,Smedgata 7/9 Borettslag
0183,Vossegata Borettslag
0185,Solbakken Borettslag
0186,B/L Bjerregaardsgate 19
0187,Skøyenlia Borettslag
0188,Karlstadgata Borettslag
0191,Beverdalen Borettslag
0195,Solhøgda Borettslag
0200,Bjerke Borettslag
0201,Sætrehjørnet Borettslag
0202,Manglerudlia Borettslag
0203,Østerdalsgt 4-6 Borettslag
0212,Vestre Strøm Borettslag
0213,Nedre Smestad Boligselskap A/S
0219,Nordmøregata 4 Borettslag
0220,Hauktjern Borettslag
0222,Trolltun Borettslag
0224,Laura Gundersengt.3 Borettslag
0229,O. B. L. Borettslag
0234,Bogerud Borettslag
0239,Havretun  Borettslag
0247,Rognerud Borettslag
0248,Fossheim Borettslag
0250,Byggveien Borettslag
0252,Stovner Borettslag
0253,Stallerudåsen Borettslag
0254,Høgdaveien Borettslag
0256,Nordberg Borettslag
0257,Øvre Høybråten Borettslag
0259,Abellund Borettslag
0260,Hamborg Borettslag
0266,Rustad Borettslag
0267,Norbygata 3-9-13 Sameie
0270,Munkelia Borettslag
0277,Stallerud Borettslag
0278,Rustadåsen Borettslag
0279,Rustadlia Borettslag
0285,Voksen Borettslag
0286,Bogerudsletta Borettslag
0287,Bjartkollen Borettslag
0294,Rustadfaret Tomteselskap A/S
0301,Alunsjø Borettslag
0308,Skråningen Borettslag
0311,Sørhellinga Borettslag
0313,Smalvollskogen Borettslag
0314,Luren Borettslag
0324,Treskeveien Borettslag
0329,Heimdal Borettslag
0330,Østbyfaret Borettslag
0335,Ammerudenga Borettslag
0338,Ammerudfaret Borettslag
0349,Christiesgate Borettslag
0352,Solfjellet Borettslag
0353,St.Hansfjellet Borettslag
0360,Ammerudkollen Borettslag
0364,Løren Borettslag
0381,Finstadkollen Borettslag
0384,Sandbakken Borettslag
0385,Kolåsbakken Borettslag
0387,Nils Huusgt. 17 Borettslag
0389,Smedstua Borettslag
0390,Stigenga Borettslag
0393,Nedre Stovner Borettslag
0395,Manglerudsletta Borettslag
0398,Vosseløkka Borettslag
0399,Munkerudsletta Borettslag
0401,Fagerholt Borettslag
0402,St.Hansfjellet Tomteselskap AL
0407,Drøbakgata Borettslag
0408,Karlstua Borettslag
0411,Valdresgata Borettslag
0413,Meklenborg Borettslag
0414,Setra Borettslag
0415,Orebakken Borettslag
0416,Jarbakken Borettslag
0422,Stovnerskogen Borettslag
0423,Stubberudlia Borettslag
0427,Sageneterrassen Borettslag
0430,Traktorveien Borettslag
0432,Øvre Haugen Borettslag
0434,Nedre Haugen Borettslag
0436,Skansen Borettslag
0437,Frydenlund Borettslag
0440,Skjønhaug Borettslag
0441,Reistad Borettslag
0444,Sandaker Borettslag
0449,Lutvannkollen Borettslag
0450,Valhall Borettslag
0451,Slåttevangen Borettslag
0452,Bjørnheim Borettslag
0453,Ulsholt Borettslag
0454,Kurland Borettslag
0455,Gransletta Borettslag
0456,Granstangen Borettslag
0457,Nordre Gran Borettslag
0458,Øvre Furuset Borettslag
0459,Nordre Fjeldstad Borettslag
0460,Nils Huusgt. 11-13 B/L
0462,Elvefaret Borettslag
0463,Nordseter Borettslag
0464,Fjellhytta Borettslag
0466,Lindebergskogen Borettslag
0467,Søndre Lindeberg Borettslag
0468,Østre Lindeberg Borettslag
0472,Sloreåsen Borettslag
0478,Søndre Fjeldstad Borettslag
0482,Oppsal Terrasse Borettslag
0484,Mellomenga Borettslag
0485,Benterudjordet Borettslag
0486,Smedvollen Borettslag
0487,Rønningen Borettslag
0488,Åssida Borettslag
0489,Øvre Silkestrå Borettslag
0490,Nedre Silkestrå Borettslag
0491,Casinetto Borettslag
0497,Starveien Borettslag
0498,Smålensgata Borettslag
0509,Jordal Borettslag
0510,Stolmakergata Borettslag
0513,Voksenskogen Borettslag
0514,Jerpeskogen Borettslag
0515,Svarttrostskogen Borettslag
0516,Hoffsgrenda Borettslag
0517,Rastaskogen Borettslag
0518,Vallerudlia Borettslag
0519,Vallerudåsen Borettslag
0520,Vallerudtoppen Borettslag
0521,Gamlelinja Borettslag
0526,Nordseterskogen Borettslag
0531,Ellingsrudflaten Borettslag
0532,Munkebekken Borettslag
0533,Beverlia Borettslag
0534,Avstikkeren Borettslag
0535,Øvre Sogn Borettslag
0541,Smestaddammen Borettslag
0542,Sportsveien B/L
0543,Bogstadlia B/L
0545,Åsly B/L
0553,Lilleparken Borettslag
0554,Welhavensgate Nr.10 Borettslag
0555,Pilestredet Nr.47 Borettslag
0556,Korsgata Borettslag
0557,Torvbakkgata Borettslag
0559,Måltrostskogen Borettslag
0560,Wessels Gate 16 Borettslag
0561,Preståsen Borettslag
0566,Bjørntun Borettslag
0567,Leirfallsgata Borettslag
0568,Ellingsrudjordet B/L
0572,Folkvangveien B/L
0573,Sverdrupsgate 22 Borettslag
